Food_ID,Name,C_Type,Veg_Non,Describe,combined_features
117,Tofu Fried rice,American,Veg,tofu salad spinach onion carrot turmeric soy sauce olive oil,Tofu Fried rice tofu salad spinach onion carrot turmeric soy sauce olive oil
118,Chicken Noodle bowl,Mediterranean,Non-Veg,chicken bread capsicum peas onion coriander pepper cumin,Chicken Noodle bowl chicken bread capsicum peas onion coriander pepper cumin
119,Mutton Gravy,Japanese,Non-Veg,mutton bread carrot garlic tomato olive oil cumin pepper,Mutton Gravy mutton bread carrot garlic tomato olive oil cumin pepper
120,Chicken Biryani,Chinese,Non-Veg,chicken salad spinach ginger capsicum cumin turmeric salt,Chicken Biryani chicken salad spinach ginger capsicum cumin turmeric salt
121,Beans Pasta bowl,Mediterranean,Veg,beans rice garlic ginger spinach soy sauce pepper salt,Beans Pasta bowl beans rice garlic ginger spinach soy sauce pepper salt
122,Fish Curry,Mediterranean,Non-Veg,fish salad garlic carrot ginger salt chili pepper,Fish Curry fish salad garlic carrot ginger salt chili pepper
123,Beans Gravy,American,Veg,beans bread tomato garlic carrot turmeric coriander chili,Beans Gravy beans bread tomato garlic carrot turmeric coriander chili
124,Fish Masala,Indian,Non-Veg,fish soup capsicum spinach ginger pepper salt turmeric,Fish Masala fish soup capsicum spinach ginger pepper salt turmeric
125,Potato Pasta bowl,Chinese,Veg,potato soup garlic peas capsicum olive oil pepper cumin,Potato Pasta bowl potato soup garlic peas capsicum olive oil pepper cumin
126,Paneer Biryani,Japanese,Veg,paneer soup onion spinach peas turmeric cumin olive oil,Paneer Biryani paneer soup onion spinach peas turmeric cumin olive oil
127,Prawn Pasta bowl,Japanese,Non-Veg,prawn rice onion capsicum peas olive oil chili coriander,Prawn Pasta bowl prawn rice onion capsicum peas olive oil chili coriander
128,Fish Stir fry,Mexican,Non-Veg,fish wrap ginger capsicum tomato pepper coriander butter,Fish Stir fry fish wrap ginger capsicum tomato pepper coriander butter
129,Egg Soup,Mediterranean,Non-Veg,egg salad peas tomato ginger butter salt soy sauce,Egg Soup egg salad peas tomato ginger butter salt soy sauce
130,Chicken Masala,Mediterranean,Non-Veg,chicken noodles spinach onion carrot pepper olive oil butter,Chicken Masala chicken noodles spinach onion carrot pepper olive oil butter
131,Tofu Fried rice,Indian,Veg,tofu pasta peas capsicum tomato salt soy sauce turmeric,Tofu Fried rice tofu pasta peas capsicum tomato salt soy sauce turmeric
132,Prawn Pasta bowl,Italian,Non-Veg,prawn soup tomato ginger spinach salt soy sauce olive oil,Prawn Pasta bowl prawn soup tomato ginger spinach salt soy sauce olive oil
133,Paneer Noodle bowl,Italian,Veg,paneer salad spinach capsicum carrot soy sauce pepper coriander,Paneer Noodle bowl paneer salad spinach capsicum carrot soy sauce pepper coriander
134,Paneer Fried rice,Mexican,Veg,paneer soup tomato garlic spinach chili salt pepper,Paneer Fried rice paneer soup tomato garlic spinach chili salt pepper
135,Prawn Masala,Japanese,Non-Veg,prawn wrap carrot garlic spinach coriander salt pepper,Prawn Masala prawn wrap carrot garlic spinach coriander salt pepper
136,Fish Gravy,Indian,Non-Veg,fish soup peas carrot onion olive oil salt coriander,Fish Gravy fish soup peas carrot onion olive oil salt coriander
137,Mutton Biryani,Italian,Non-Veg,mutton salad capsicum onion garlic chili turmeric butter,Mutton Biryani mutton salad capsicum onion garlic chili turmeric butter
138,Egg Stir fry,Thai,Non-Veg,egg noodles onion peas garlic chili olive oil cumin,Egg Stir fry egg noodles onion peas garlic chili olive oil cumin
139,Prawn Pasta bowl,Mediterranean,Non-Veg,prawn wrap spinach onion tomato butter coriander turmeric,Prawn Pasta bowl prawn wrap spinach onion tomato butter coriander turmeric
140,Chicken Masala,Mexican,Non-Veg,chicken noodles ginger garlic spinach coriander chili cumin,Chicken Masala chicken noodles ginger garlic spinach coriander chili cumin
141,Potato Noodle bowl,Mexican,Veg,potato bread onion garlic spinach olive oil chili coriander,Potato Noodle bowl potato bread onion garlic spinach olive oil chili coriander
142,Mutton Fried rice,Thai,Non-Veg,mutton noodles garlic spinach capsicum coriander turmeric olive oil,Mutton Fried rice mutton noodles garlic spinach capsicum coriander turmeric olive oil
143,Fish Curry,Italian,Non-Veg,fish soup spinach carrot capsicum cumin butter turmeric,Fish Curry fish soup spinach carrot capsicum cumin butter turmeric
144,Lentils Fried rice,Mexican,Veg,lentils pasta peas capsicum ginger turmeric salt coriander,Lentils Fried rice lentils pasta peas capsicum ginger turmeric salt coriander
145,Potato Masala,Mediterranean,Veg,potato bread spinach carrot ginger salt butter coriander,Potato Masala potato bread spinach carrot ginger salt butter coriander
146,Fish Noodle bowl,Mediterranean,Non-Veg,fish wrap garlic tomato peas pepper chili salt,Fish Noodle bowl fish wrap garlic tomato peas pepper chili salt
147,Chickpeas Gravy,Mediterranean,Veg,chickpeas wrap garlic carrot tomato chili olive oil pepper,Chickpeas Gravy chickpeas wrap garlic carrot tomato chili olive oil pepper
148,Fish Pasta bowl,Chinese,Non-Veg,fish wrap onion tomato peas salt pepper cumin,Fish Pasta bowl fish wrap onion tomato peas salt pepper cumin
149,Prawn Stir fry,Chinese,Non-Veg,prawn rice spinach carrot peas salt olive oil coriander,Prawn Stir fry prawn rice spinach carrot peas salt olive oil coriander
150,Prawn Fried rice,Japanese,Non-Veg,prawn soup onion ginger peas chili coriander pepper,Prawn Fried rice prawn soup onion ginger peas chili coriander pepper
151,Chickpeas Noodle bowl,Chinese,Veg,chickpeas bread peas garlic onion chili turmeric cumin,Chickpeas Noodle bowl chickpeas bread peas garlic onion chili turmeric cumin
152,Fish Biryani,Mediterranean,Non-Veg,fish rice spinach tomato garlic cumin pepper olive oil,Fish Biryani fish rice spinach tomato garlic cumin pepper olive oil
153,Prawn Soup,Japanese,Non-Veg,prawn salad garlic capsicum carrot coriander chili cumin,Prawn Soup prawn salad garlic capsicum carrot coriander chili cumin
154,Mushroom Pasta bowl,Mediterranean,Veg,mushroom wrap capsicum tomato peas butter coriander soy sauce,Mushroom Pasta bowl mushroom wrap capsicum tomato peas butter coriander soy sauce
155,Lentils Soup,Thai,Veg,lentils soup tomato capsicum ginger coriander salt chili,Lentils Soup lentils soup tomato capsicum ginger coriander salt chili
156,Chickpeas Biryani,Indian,Veg,chickpeas noodles onion carrot spinach soy sauce olive oil pepper,Chickpeas Biryani chickpeas noodles onion carrot spinach soy sauce olive oil pepper
157,Lentils Masala,Thai,Veg,lentils wrap tomato garlic spinach coriander turmeric soy sauce,Lentils Masala lentils wrap tomato garlic spinach coriander turmeric soy sauce
158,Egg Fried rice,Italian,Non-Veg,egg soup ginger capsicum carrot soy sauce olive oil chili,Egg Fried rice egg soup ginger capsicum carrot soy sauce olive oil chili
159,Prawn Noodle bowl,Chinese,Non-Veg,prawn pasta ginger carrot spinach pepper salt chili,Prawn Noodle bowl prawn pasta ginger carrot spinach pepper salt chili
160,Egg Gravy,Indian,Non-Veg,egg salad garlic tomato peas pepper chili coriander,Egg Gravy egg salad garlic tomato peas pepper chili coriander
161,Tofu Pasta bowl,Japanese,Veg,tofu salad carrot onion tomato salt butter coriander,Tofu Pasta bowl tofu salad carrot onion tomato salt butter coriander
162,Mushroom Curry,Italian,Veg,mushroom soup onion carrot tomato cumin turmeric pepper,Mushroom Curry mushroom soup onion carrot tomato cumin turmeric pepper
163,Prawn Curry,Thai,Non-Veg,prawn pasta tomato capsicum peas chili salt butter,Prawn Curry prawn pasta tomato capsicum peas chili salt butter
164,Tofu Masala,Japanese,Veg,tofu bread peas capsicum garlic olive oil turmeric coriander,Tofu Masala tofu bread peas capsicum garlic olive oil turmeric coriander
165,Tofu Biryani,Indian,Veg,tofu rice carrot spinach garlic pepper olive oil butter,Tofu Biryani tofu rice carrot spinach garlic pepper olive oil butter
166,Chicken Fried rice,Japanese,Non-Veg,chicken soup capsicum peas carrot salt pepper butter,Chicken Fried rice chicken soup capsicum peas carrot salt pepper butter
167,Lentils Fried rice,Mexican,Veg,lentils soup onion peas capsicum butter soy sauce coriander,Lentils Fried rice lentils soup onion peas capsicum butter soy sauce coriander
168,Chicken Pasta bowl,Italian,Non-Veg,chicken salad carrot spinach ginger chili soy sauce cumin,Chicken Pasta bowl chicken salad carrot spinach ginger chili soy sauce cumin
169,Chickpeas Fried rice,Mediterranean,Veg,chickpeas soup ginger capsicum onion turmeric pepper soy sauce,Chickpeas Fried rice chickpeas soup ginger capsicum onion turmeric pepper soy sauce
170,Potato Fried rice,Mexican,Veg,potato rice ginger peas tomato soy sauce cumin pepper,Potato Fried rice potato rice ginger peas tomato soy sauce cumin pepper
171,Chickpeas Soup,Italian,Veg,chickpeas rice capsicum tomato garlic coriander turmeric butter,Chickpeas Soup chickpeas rice capsicum tomato garlic coriander turmeric butter
172,Lentils Soup,Indian,Veg,lentils rice carrot spinach ginger turmeric coriander butter,Lentils Soup lentils rice carrot spinach ginger turmeric coriander butter
173,Potato Stir fry,Indian,Veg,potato bread garlic carrot onion turmeric chili coriander,Potato Stir fry potato bread garlic carrot onion turmeric chili coriander
174,Potato Gravy,Mexican,Veg,potato bread tomato peas carrot butter salt coriander,Potato Gravy potato bread tomato peas carrot butter salt coriander
175,Beans Gravy,Indian,Veg,beans noodles garlic capsicum carrot coriander pepper cumin,Beans Gravy beans noodles garlic capsicum carrot coriander pepper cumin
176,Egg Gravy,Mediterranean,Non-Veg,egg noodles capsicum ginger onion olive oil salt pepper,Egg Gravy egg noodles capsicum ginger onion olive oil salt pepper
177,Prawn Noodle bowl,American,Non-Veg,prawn bread capsicum spinach tomato pepper olive oil soy sauce,Prawn Noodle bowl prawn bread capsicum spinach tomato pepper olive oil soy sauce
